"id","Machine Id","Machine Name","Today Data","Overview Data","Data History","Month History","Rating","STATUS","Last Data at"
"1","4708","DEMO","Today Data","Overview Data","Data History","Month History","3.2222","Offline","2025-01-13 14:34:44"
"2","4716","demo2","Today Data","Overview Data","Data History","Month History","4.0000","Offline","2025-01-15 10:53:58"
